Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
99%_DR,9.94 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.94 E-1,nan,nan,9.93 E-1,nan,nan,754,1.5
95%_DR,9.93 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.92 E-1,nan,nan,9.92 E-1,nan,nan,754,1.5
5%_DR,9.85 E-1,nan,nan,9.87 E-1,nan,nan,9.87 E-1,nan,nan,9.88 E-1,nan,nan,9.88 E-1,nan,nan,9.87 E-1,nan,nan,9.83 E-1,nan,nan,9.85 E-1,nan,nan,754,1.5
1%_DR,9.80 E-1,nan,nan,9.85 E-1,nan,nan,9.84 E-1,nan,nan,9.86 E-1,nan,nan,9.85 E-1,nan,nan,9.83 E-1,nan,nan,9.81 E-1,nan,nan,9.82 E-1,nan,nan,754,1.5
Min_DR,9.76 E-1,7.40 E-2,9.07 E0,9.76 E-1,8.00 E-2,1.03 E+1,9.71 E-1,6.31 E-2,9.19 E0,9.78 E-1,8.90 E-2,1.06 E+1,9.68 E-1,7.34 E-2,1.36 E+1,9.68 E-1,7.34 E-2,1.36 E+1,9.73 E-1,2.94 E-2,1.86 E0,9.69 E-1,2.43 E-2,1.32 E0,754,1.5
Max_DR,9.95 E-1,2.08 E-1,5.21 E0,9.96 E-1,2.09 E-1,3.58 E0,9.97 E-1,2.62 E-1,3.91 E0,9.95 E-1,2.62 E-1,7.24 E0,9.96 E-1,2.71 E-1,7.27 E0,9.97 E-1,2.62 E-1,3.91 E0,9.95 E-1,2.58 E-1,6.94 E0,9.93 E-1,1.46 E-1,4.27 E0,784,1.5
99%_DR,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,784,1.5
95%_DR,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.91 E-1,nan,nan,9.91 E-1,nan,nan,784,1.5
5%_DR,9.83 E-1,nan,nan,9.84 E-1,nan,nan,9.85 E-1,nan,nan,9.87 E-1,nan,nan,9.86 E-1,nan,nan,9.85 E-1,nan,nan,9.81 E-1,nan,nan,9.83 E-1,nan,nan,784,1.5
1%_DR,9.77 E-1,nan,nan,9.82 E-1,nan,nan,9.82 E-1,nan,nan,9.83 E-1,nan,nan,9.82 E-1,nan,nan,9.81 E-1,nan,nan,9.79 E-1,nan,nan,9.81 E-1,nan,nan,784,1.5
Min_DR,9.73 E-1,8.13 E-2,1.24 E+1,9.72 E-1,6.91 E-2,1.00 E+1,9.68 E-1,5.44 E-2,8.75 E0,9.74 E-1,7.38 E-2,1.05 E+1,9.65 E-1,6.52 E-2,1.29 E+1,9.65 E-1,6.52 E-2,1.29 E+1,9.70 E-1,2.60 E-2,1.75 E0,9.67 E-1,2.22 E-2,1.32 E0,784,1.5
Max_DR,9.95 E-1,2.13 E-1,5.11 E0,9.96 E-1,2.05 E-1,3.38 E0,9.97 E-1,2.67 E-1,3.69 E0,9.96 E-1,2.63 E-1,6.78 E0,9.96 E-1,2.66 E-1,6.90 E0,9.97 E-1,2.67 E-1,3.69 E0,9.96 E-1,2.60 E-1,6.61 E0,9.95 E-1,1.93 E-1,3.75 E0,814,1.5
99%_DR,9.93 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.94 E-1,nan,nan,9.93 E-1,nan,nan,9.94 E-1,nan,nan,814,1.5
95%_DR,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.93 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,814,1.5
5%_DR,9.83 E-1,nan,nan,9.84 E-1,nan,nan,9.85 E-1,nan,nan,9.87 E-1,nan,nan,9.87 E-1,nan,nan,9.85 E-1,nan,nan,9.81 E-1,nan,nan,9.84 E-1,nan,nan,814,1.5
1%_DR,9.76 E-1,nan,nan,9.81 E-1,nan,nan,9.81 E-1,nan,nan,9.84 E-1,nan,nan,9.82 E-1,nan,nan,9.81 E-1,nan,nan,9.79 E-1,nan,nan,9.78 E-1,nan,nan,814,1.5
