Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
95%_DR,1.62 E-3,nan,nan,1.83 E-3,nan,nan,1.85 E-3,nan,nan,1.22 E-3,nan,nan,1.18 E-3,nan,nan,1.67 E-3,nan,nan,1.94 E-3,nan,nan,1.21 E-3,nan,nan,724,1.5
5%_DR,3.96 E-4,nan,nan,4.58 E-4,nan,nan,4.00 E-4,nan,nan,2.95 E-4,nan,nan,2.42 E-4,nan,nan,3.26 E-4,nan,nan,3.81 E-4,nan,nan,3.58 E-4,nan,nan,724,1.5
1%_DR,3.07 E-4,nan,nan,3.50 E-4,nan,nan,2.89 E-4,nan,nan,1.94 E-4,nan,nan,1.90 E-4,nan,nan,2.22 E-4,nan,nan,2.98 E-4,nan,nan,2.57 E-4,nan,nan,724,1.5
Min_DR,2.47 E-4,1.72 E-1,1.03 E+1,1.84 E-4,2.21 E-1,9.87 E0,1.57 E-4,2.02 E-1,1.13 E+1,1.10 E-4,2.22 E-1,1.22 E+1,1.36 E-4,2.26 E-1,1.11 E+1,1.10 E-4,2.22 E-1,1.22 E+1,2.50 E-4,1.59 E-1,1.08 E+1,2.02 E-4,1.74 E-1,1.12 E+1,724,1.5
Max_DR,1.98 E-3,8.18 E-2,2.13 E0,2.14 E-3,6.49 E-2,1.92 E0,1.99 E-3,7.92 E-2,2.57 E0,2.02 E-3,7.23 E-2,2.93 E0,1.89 E-3,8.15 E-2,3.05 E0,2.14 E-3,6.49 E-2,1.92 E0,2.63 E-3,2.94 E-2,1.86 E0,2.39 E-3,2.43 E-2,1.32 E0,754,1.5
99%_DR,1.66 E-3,nan,nan,1.92 E-3,nan,nan,1.87 E-3,nan,nan,1.71 E-3,nan,nan,1.60 E-3,nan,nan,1.86 E-3,nan,nan,2.01 E-3,nan,nan,1.59 E-3,nan,nan,754,1.5
95%_DR,1.38 E-3,nan,nan,1.71 E-3,nan,nan,1.64 E-3,nan,nan,1.20 E-3,nan,nan,1.12 E-3,nan,nan,1.51 E-3,nan,nan,1.79 E-3,nan,nan,1.08 E-3,nan,nan,754,1.5
5%_DR,3.76 E-4,nan,nan,4.21 E-4,nan,nan,3.91 E-4,nan,nan,2.76 E-4,nan,nan,2.32 E-4,nan,nan,3.10 E-4,nan,nan,3.50 E-4,nan,nan,3.39 E-4,nan,nan,754,1.5
1%_DR,2.99 E-4,nan,nan,2.96 E-4,nan,nan,2.72 E-4,nan,nan,1.90 E-4,nan,nan,1.79 E-4,nan,nan,2.11 E-4,nan,nan,2.90 E-4,nan,nan,2.24 E-4,nan,nan,754,1.5
Min_DR,2.11 E-4,2.10 E-1,9.61 E0,2.12 E-4,2.29 E-1,8.99 E0,1.51 E-4,2.34 E-1,1.03 E+1,8.98 E-5,2.81 E-1,1.11 E+1,1.24 E-4,2.39 E-1,1.11 E+1,8.98 E-5,2.81 E-1,1.11 E+1,2.25 E-4,2.30 E-1,8.71 E0,1.71 E-4,2.27 E-1,1.00 E+1,754,1.5
Max_DR,2.20 E-3,5.50 E-2,3.30 E0,2.26 E-3,5.28 E-2,1.79 E0,2.28 E-3,5.58 E-2,2.75 E0,2.24 E-3,5.98 E-2,2.54 E0,2.06 E-3,7.07 E-2,2.83 E0,2.28 E-3,5.58 E-2,2.75 E0,2.65 E-3,2.60 E-2,1.75 E0,2.42 E-3,2.22 E-2,1.32 E0,784,1.5
99%_DR,1.87 E-3,nan,nan,2.07 E-3,nan,nan,2.05 E-3,nan,nan,1.91 E-3,nan,nan,1.83 E-3,nan,nan,2.01 E-3,nan,nan,2.15 E-3,nan,nan,2.00 E-3,nan,nan,784,1.5
95%_DR,1.61 E-3,nan,nan,1.83 E-3,nan,nan,1.87 E-3,nan,nan,1.40 E-3,nan,nan,1.32 E-3,nan,nan,1.72 E-3,nan,nan,1.98 E-3,nan,nan,1.25 E-3,nan,nan,784,1.5
5%_DR,4.77 E-4,nan,nan,5.23 E-4,nan,nan,4.98 E-4,nan,nan,3.71 E-4,nan,nan,3.23 E-4,nan,nan,4.05 E-4,nan,nan,4.74 E-4,nan,nan,3.87 E-4,nan,nan,784,1.5
1%_DR,3.86 E-4,nan,nan,4.03 E-4,nan,nan,3.69 E-4,nan,nan,2.62 E-4,nan,nan,2.48 E-4,nan,nan,2.80 E-4,nan,nan,3.70 E-4,nan,nan,2.81 E-4,nan,nan,784,1.5
Min_DR,2.72 E-4,1.95 E-1,8.99 E0,2.95 E-4,1.99 E-1,8.49 E0,1.90 E-4,2.06 E-1,1.03 E+1,1.55 E-4,2.68 E-1,9.17 E0,1.70 E-4,2.03 E-1,1.09 E+1,1.55 E-4,2.68 E-1,9.17 E0,2.77 E-4,1.97 E-1,8.83 E0,2.35 E-4,1.71 E-1,1.06 E+1,784,1.5
Max_DR,2.38 E-3,4.85 E-2,2.83 E0,2.30 E-3,5.55 E-2,2.37 E0,2.45 E-3,4.22 E-2,1.93 E0,2.30 E-3,5.55 E-2,2.24 E0,2.14 E-3,6.72 E-2,2.57 E0,2.45 E-3,4.22 E-2,1.93 E0,2.58 E-3,2.81 E-2,1.68 E0,2.48 E-3,4.27 E-2,2.85 E0,814,1.5
99%_DR,2.06 E-3,nan,nan,2.06 E-3,nan,nan,2.14 E-3,nan,nan,1.92 E-3,nan,nan,1.91 E-3,nan,nan,2.04 E-3,nan,nan,2.22 E-3,nan,nan,2.09 E-3,nan,nan,814,1.5
95%_DR,1.74 E-3,nan,nan,1.90 E-3,nan,nan,1.95 E-3,nan,nan,1.50 E-3,nan,nan,1.43 E-3,nan,nan,1.81 E-3,nan,nan,2.07 E-3,nan,nan,1.34 E-3,nan,nan,814,1.5
5%_DR,5.37 E-4,nan,nan,5.82 E-4,nan,nan,5.65 E-4,nan,nan,4.24 E-4,nan,nan,3.67 E-4,nan,nan,4.57 E-4,nan,nan,4.89 E-4,nan,nan,4.06 E-4,nan,nan,814,1.5
1%_DR,4.32 E-4,nan,nan,4.54 E-4,nan,nan,4.09 E-4,nan,nan,2.92 E-4,nan,nan,2.83 E-4,nan,nan,3.19 E-4,nan,nan,3.73 E-4,nan,nan,2.95 E-4,nan,nan,814,1.5
Min_DR,2.93 E-4,2.00 E-1,8.48 E0,3.57 E-4,2.11 E-1,7.31 E0,2.17 E-4,2.03 E-1,9.73 E0,1.77 E-4,2.70 E-1,8.60 E0,2.00 E-4,2.03 E-1,1.01 E+1,1.77 E-4,2.70 E-1,8.60 E0,2.80 E-4,2.15 E-1,8.21 E0,1.81 E-4,2.47 E-1,9.14 E0,814,1.5
