Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
95%_DR,0.001457505539164009,nan,nan,0.0017595169639680278,nan,nan,0.0017229952797541887,nan,nan,0.0010735890414366827,nan,nan,0.0010009887077189136,nan,nan,0.0015434581884737346,nan,nan,0.001877941083857029,nan,nan,0.0011275613041143702,nan,nan,701,1.5
5%_DR,0.00034186842657836595,nan,nan,0.000393500277294225,nan,nan,0.00035340914698784876,nan,nan,0.0002461032957926576,nan,nan,0.0001871530335471189,nan,nan,0.0002661443642153986,nan,nan,0.0003140743882016132,nan,nan,0.00029414968187385757,nan,nan,701,1.5
1%_DR,0.00027021084395230073,nan,nan,0.0002721130614153169,nan,nan,0.00024461694101317305,nan,nan,0.0001632166487000201,nan,nan,0.00013941085595447673,nan,nan,0.00016758604829519519,nan,nan,0.000258999766694039,nan,nan,0.00023017954187177397,nan,nan,701,1.5
Min_DR,0.0002088159287437212,0.16002,11.73369,0.000167322699839005,0.22292366666666666,10.238213666666667,0.00012354240380721654,0.216819,11.896488,7.766599220273013e-05,0.23948466666666668,13.251164666666666,9.285782036703527e-05,0.2683473333333333,11.350093666666666,7.766599220273013e-05,0.23948466666666668,13.251164666666666,0.0001993745568864716,0.178008,11.135972,0.00017911287452749598,0.178998667,11.64447167,701,1.5
Max_DR,0.0024300723541755736,0.045179,2.894146,0.002185648768153231,0.064063,2.310986,0.0023609901184569173,0.05129,2.554608,0.002160338484601135,0.064779,2.039317,0.0019354316399842247,0.0770525,3.104872,0.0024300723541755736,0.045179,2.894146,0.0027425515644213592,0.02657390811280643,2.032400356912489,0.0026620714362002797,0.019620575985972312,1.5664698958476797,724,1.5
99%_DR,0.0019063642729106839,nan,nan,0.002062883955405399,nan,nan,0.0020481955039051607,nan,nan,0.0017014836551246008,nan,nan,0.001805292443126491,nan,nan,0.002003997151829885,nan,nan,0.0021579902921412307,nan,nan,0.0019368672458958212,nan,nan,724,1.5
95%_DR,0.0016187564850657166,nan,nan,0.0018275018821357317,nan,nan,0.0018486232987208898,nan,nan,0.001218403069445695,nan,nan,0.0011829218479694286,nan,nan,0.0016731861642302244,nan,nan,0.0019377383947624895,nan,nan,0.0012057445449537465,nan,nan,724,1.5
5%_DR,0.0003961096040743854,nan,nan,0.00045796822208896636,nan,nan,0.00040036621559566896,nan,nan,0.00029505473876566626,nan,nan,0.00024204867553495707,nan,nan,0.0003258005474280729,nan,nan,0.0003813244681999244,nan,nan,0.00035826798126170395,nan,nan,724,1.5
1%_DR,0.000306816924617246,nan,nan,0.0003498602610029728,nan,nan,0.00028929158297049594,nan,nan,0.00019414144604759648,nan,nan,0.00018979023279774312,nan,nan,0.00022229079819450617,nan,nan,0.0002980379442308008,nan,nan,0.0002572574111632841,nan,nan,724,1.5
Min_DR,0.00024663536337430204,0.17166700000000001,10.3302955,0.00018401257121428114,0.221023,9.872733,0.0001573812928699348,0.201717,11.32083,0.00011008576999446936,0.22232933333333335,12.238145333333334,0.00013645511970056186,0.22552399999999997,11.086147666666667,0.00011008576999446936,0.22232933333333335,12.238145333333334,0.00025033841787978065,0.1594,10.794224,0.0002017544923880937,0.174444,11.233236,724,1.5
Max_DR,0.0019757607134442937,0.08176166666666666,2.134208833333333,0.0021408591406277475,0.064948,1.918951,0.0019896853753236347,0.079158,2.569024,0.0020246340806077652,0.0723235,2.9328765,0.001892407499362939,0.08150333333333333,3.0535496666666666,0.0021408591406277475,0.064948,1.918951,0.0026336026207475164,0.029431024302782806,1.8586468120284159,0.002389328165187665,0.024257699476898622,1.3193362415659247,754,1.5
99%_DR,0.0016595865874517739,nan,nan,0.0019231380065953525,nan,nan,0.001872916095838577,nan,nan,0.0017071917443418736,nan,nan,0.0015983776060362778,nan,nan,0.0018579297325277018,nan,nan,0.00200766474596945,nan,nan,0.0015923717854242386,nan,nan,754,1.5
95%_DR,0.0013836829451051398,nan,nan,0.0017119823387035408,nan,nan,0.0016436467099143791,nan,nan,0.0012008383383032336,nan,nan,0.0011245586897876026,nan,nan,0.0015138742775409725,nan,nan,0.0017922284107892675,nan,nan,0.0010787971629413866,nan,nan,754,1.5
5%_DR,0.0003757992504356271,nan,nan,0.00042060371147075647,nan,nan,0.0003910222737871698,nan,nan,0.00027597804102659994,nan,nan,0.000232200891067228,nan,nan,0.0003101528454484059,nan,nan,0.00034959206347838484,nan,nan,0.00033907085567719166,nan,nan,754,1.5
1%_DR,0.0002989461084004319,nan,nan,0.00029599286136453484,nan,nan,0.0002721230874778929,nan,nan,0.00018960857240732617,nan,nan,0.00017912744809058298,nan,nan,0.00021055003751581928,nan,nan,0.0002896068064965621,nan,nan,0.00022350602425138757,nan,nan,754,1.5
Min_DR,0.00021125746999471045,0.21025850000000001,9.612450500000001,0.0002124044579987462,0.22891966666666666,8.990593000000002,0.00015057195831559624,0.233688,10.348872,8.980835531986146e-05,0.280529,11.106062333333334,0.00012365433735838684,0.23894066666666666,11.060572666666667,8.980835531986146e-05,0.280529,11.106062333333334,0.00022475890317740738,0.230308,8.70794,0.00017086570637361842,0.2269835,10.006248,754,1.5
Max_DR,0.0021989441485054293,0.0550195,3.2968525,0.0022595759270175302,0.052752,1.787739,0.002277303285477351,0.055762,2.751838,0.0022373664634874296,0.059753,2.543341,0.0020620098990840993,0.07065133333333333,2.8276326666666667,0.002277303285477351,0.055762,2.751838,0.002648560255635561,0.0260148126651441,1.7483217010501266,0.002418034172935543,0.022241131297500744,1.317128358621389,784,1.5
99%_DR,0.0018747050329887976,nan,nan,0.002067197973252675,nan,nan,0.0020533812683290365,nan,nan,0.0019072580897244664,nan,nan,0.0018341427993108952,nan,nan,0.002012308692570242,nan,nan,0.002153518438688881,nan,nan,0.0019979926231460795,nan,nan,784,1.5
95%_DR,0.001610225766469272,nan,nan,0.0018271369859860752,nan,nan,0.0018712468798548559,nan,nan,0.001402774499795073,nan,nan,0.001324784955288517,nan,nan,0.0017230583040310238,nan,nan,0.0019759509743280793,nan,nan,0.0012490282088034493,nan,nan,784,1.5
5%_DR,0.0004770491716359751,nan,nan,0.0005227951049570907,nan,nan,0.0004983814791046118,nan,nan,0.000370865135838614,nan,nan,0.0003227713467908229,nan,nan,0.00040491907287667285,nan,nan,0.00047424586053051223,nan,nan,0.00038705047515746074,nan,nan,784,1.5
1%_DR,0.0003863504119975007,nan,nan,0.000403359744148281,nan,nan,0.00036876111722767825,nan,nan,0.00026189540468766933,nan,nan,0.0002481899143062046,nan,nan,0.0002801257584853547,nan,nan,0.00037045458595799365,nan,nan,0.0002806535987047044,nan,nan,784,1.5
Min_DR,0.00027197775743984204,0.194885,8.986020666666667,0.0002946821332892476,0.19909600000000002,8.486740666666668,0.0001902651432977663,0.205829,10.251297,0.00015526229686453264,0.2682523333333333,9.172330333333333,0.00017023981136944283,0.20271666666666666,10.898140666666665,0.00015526229686453264,0.2682523333333333,9.172330333333333,0.00027725889472246545,0.197018,8.827195,0.00023532156706032055,0.171408,10.578375,784,1.5
Max_DR,0.002383213358607013,0.048469,2.825348,0.002301774380131921,0.055539,2.3652465,0.002448009217721196,0.042153,1.934507,0.0022984261986743796,0.055497000000000005,2.2395925,0.0021354878233625393,0.06721666666666666,2.5658093333333336,0.002448009217721196,0.042153,1.934507,0.0025759912792895664,0.02814398828627161,1.6768232343824236,0.0024785962287349,0.042713,2.850012,814,1.5
