Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
95%_DR,0.9928256286691742,,,0.9933361733726965,,,0.9933441725540184,,,0.9937243226901872,,,0.9936371351216691,,,0.9934645779152601,,,0.9927127399011613,,,0.9928069346159166,,,827,1.5
5%_DR,0.984803539508737,,,0.9857406443548424,,,0.9866161415012933,,,0.9880758762114742,,,0.9876717281080137,,,0.9863693806181281,,,0.9799536552098453,,,0.9854052266263582,,,827,1.5
1%_DR,0.9806856674933596,,,0.983881903963754,,,0.9838377842115493,,,0.9855098889824865,,,0.9839605896043145,,,0.9834462090013413,,,0.9770238320129073,,,0.9839507473748488,,,827,1.5
Min_DR,0.9768700713820055,0.08723,11.386322,0.976102045724229,0.074795,9.254725,0.9729216234551762,0.061713,8.190409,0.9773242243075275,0.080921,9.752535,0.9698883684329542,0.0693875,11.4614355,0.9698883684329542,0.0693875,11.4614355,0.9650874476471961,0.02833706242161169,3.812333666666666,0.9730229883062509,0.028784446636345683,1.154837858172446,827,1.5
Max_DR,0.9947758811034952,0.294861,6.3298,0.9960833442910639,0.301551,3.732023,0.9961519212571076,0.327847,4.5424966666666675,0.9958031202087452,0.284262,3.684638,0.99583790481237,0.359725,6.729765,0.9961519212571076,0.327847,4.5424966666666675,0.9956540025566009,0.3343585,6.093129,0.9933905650562909,0.214867,4.586466,673,2.0
99%_DR,0.9927258208471761,,,0.9938579640535995,,,0.9942416865813506,,,0.994485322775833,,,0.9941195636252935,,,0.9941437686723995,,,0.992447251666615,,,0.9911599768205851,,,673,2.0
95%_DR,0.9911362389854953,,,0.992395902838949,,,0.9927399783961309,,,0.993297362661189,,,0.9932029080898959,,,0.9927905893090136,,,0.990516158228959,,,0.9884258685936393,,,673,2.0
5%_DR,0.9748704644632352,,,0.9779424442494353,,,0.9809546519343262,,,0.9833964188001418,,,0.9825310274609607,,,0.9789465013528673,,,0.9745313297210099,,,0.9758795489277226,,,673,2.0
1%_DR,0.9625200918900814,,,0.9705538251921647,,,0.9737465431520973,,,0.9758218621211322,,,0.9719988219198622,,,0.9705538251921647,,,0.9723045466711866,,,0.966073799489226,,,673,2.0
Min_DR,0.9397961527273221,0.062182,14.377233,0.9564169948000512,0.05556,7.479989,0.970376973249221,0.086373,8.7995485,0.9548382568823187,0.078961,14.153131,0.9295167009462186,0.059758,17.004705,0.9295167009462186,0.059758,17.004705,0.9615374303552285,0.092646,14.863581,0.957899929967041,0.024796374076105968,1.5991320782595013,673,2.0
Max_DR,0.9929448674111317,0.244096,6.996942,0.9951492361566834,0.2561795,3.8038030000000003,0.9955854121788329,0.2921803333333333,4.448116333333333,0.9947001510014498,0.352678,9.942594,0.9953918223199636,0.3256555,6.3774235,0.9955854121788329,0.2921803333333333,4.448116333333333,0.9944991607626039,0.2861575,6.479428,0.9921086148163863,0.185692,4.545688,686,2.0
99%_DR,0.9912972761767733,,,0.9924749030928596,,,0.9928733316960388,,,0.9934788723353822,,,0.99309603712444,,,0.9928036270143372,,,0.9913959883444496,,,0.9877370898909806,,,686,2.0
95%_DR,0.9894582748103985,,,0.9910438852355553,,,0.9910147409869111,,,0.9916409545244949,,,0.9915677875303359,,,0.9911901464989481,,,0.9888115707988231,,,0.9860520965879754,,,686,2.0
