Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
95%_DR,0.0001014154805982953,0.00018860892399154958,0.00017346944148155033,7.225087055953061e-05,6.317187944299603e-05,0.00012748825588986074,0.00017594876690917198,5.3215006986764856e-05,784,2
5%_DR,6.741060885670474e-06,8.349314686132406e-06,7.77495130402437e-06,4.0346327895352966e-06,3.017076690619795e-06,4.927219988320466e-06,7.146546223252754e-06,4.534215801638988e-06,784,2
1%_DR,4.320494258923959e-06,4.689778108556764e-06,3.921139599773338e-06,1.936720094226462e-06,1.6999085738479862e-06,2.2692201933357593e-06,4.29720134329582e-06,2.502129085689088e-06,784,2
Min_DR,2.114305478088839e-06,2.4541876722429984e-06,1.0427897581235284e-06,6.367624114587707e-07,8.498579345315411e-07,6.367624114587707e-07,2.186573010130084e-06,1.688148395188457e-06,784,2
Max_DR,0.0003769099767480747,0.0004745711012885293,0.0004193540190572846,0.0003690797811657669,0.00024119543305711072,0.0004745711012885293,0.0005418212235421807,0.0005730992807910096,814,2
99%_DR,0.00021188085163635642,0.0003384210689447536,0.00028610922740140944,0.00018217003393571014,0.00018192354257933103,0.0002595813958984684,0.00028486203908081935,0.00019163201495561754,814,2
95%_DR,0.00012715656327901147,0.00019878128133765506,0.00020493755379634722,8.79816460020935e-05,7.591221774470355e-05,0.00015358613627937585,0.00020437010324704137,6.192222329501218e-05,814,2
5%_DR,8.947426662356508e-06,1.0363643368880715e-05,9.70414445576134e-06,5.273273106190816e-06,3.943005428095728e-06,6.231098852781228e-06,7.536526354038389e-06,4.81989947449706e-06,814,2
1%_DR,5.377821001605384e-06,5.957743144785623e-06,4.846041238243784e-06,2.434604372168368e-06,2.348023278894914e-06,3.012544894177343e-06,4.052826962706554e-06,2.6452201256805416e-06,814,2
Min_DR,2.4274806982901945e-06,3.5336355553168783e-06,1.3508434252910786e-06,8.239286950792169e-07,1.152668914117901e-06,8.239286950792169e-07,2.174509136722802e-06,8.868934047602284e-07,814,2
Max_DR,0.0003535335571155389,0.0004509451675764041,0.00040093518059270924,0.000367530944305664,0.00022166236863518224,0.0004509451675764041,0.0003799467732531117,0.0005680951038642438,827,2
99%_DR,0.0001886173811158162,0.0003950895174608803,0.0002816945254185484,0.00016579334190136498,0.00016665613563091063,0.00027627452934455595,0.0002700259226100816,0.0002317899119853782,827,2
